Node_id Demand
1701 2.282649298405249
1702 2.260798525709749
959 1.3416387158600862
960 2.6231423467870405
93 1.5047291487532244
94 1.5047291487532244
208 2.2043595222498302
209 2.2043595222498302
1063 3.55205586135947
1064 2.5471216508331542
231 2.2043595222498302
232 4.638979847117797
1772 2.1063170007086063
1773 2.1063170007086067
2081 4.106376423220938
2186 2.68701744352302
667 3.080405339101345
759 1.9688918320869606
2662 2.102996178825563
2663 2.102996178825563
1750 1.941780821917808
1751 1.941780821917808
533 1.0718113612004287
534 1.0718113612004287
182 0.9438009438009438
183 0.9438009438009438
1402 3.1883525279751694
1403 3.1883525279751694
1540 2.0446998722860785
1541 2.0446998722860785
1832 1.5695204890864003
1833 1.5695204890864003
2577 3.1096784162845257
2578 3.1096784162845257
1213 1.067214974475326
1214 1.067214974475326
2668 2.102996178825563
2669 2.102996178825563
194 2.0156123050013726
195 2.0156123050013726
1188 5.62322340389921
2039 3.4117647058823533
1989 2.683982683982684
1990 2.683982683982684
248 2.5816342526137652
249 2.5816342526137652
2221 3.829090732900897
2222 3.8290907329008967
1879 3.492552645095018
1880 3.343620262937077
493 2.1609538002980626
494 2.1609538002980626
1537 2.0446998722860785
1538 2.0446998722860785
2840 2.4546785141222602
2841 2.4546785141222602
1689 1.4442916093535076
1690 1.4442916093535076
1126 4.47003909108759
1127 4.47003909108759
2850 2.4546785141222602
2851 2.4546785141222602
173 0.9438009438009438
174 0.9438009438009438
2667 2.102996178825563
277 6.45095127812658
522 4.654006084954972
497 2.9411238211169386
1057 1.1103400416377516
848 1.874151672293182
849 1.874151672293182
1171 2.8785550186168107
1172 2.8785550186168107
771 2.245982959685999
1230 1.067214974475326
1231 1.067214974475326
2493 2.199421082165219
2494 2.199421082165219
348 6.616300523224288
464 5.317732618919019
1666 2.7439029526269065
1667 1.8895498199987535
827 2.245982959685999
828 2.245982959685999
211 2.2043595222498302
212 2.2043595222498302
67 0.7523645743766122
68 1.5047291487532244
311 1.7735334242837653
312 1.7735334242837653
1498 4.131158681617397
1499 4.131158681617397
347 5.099012671029495
1883 1.4525634139514474
1884 1.4525634139514474
2010 0.8823529411764706
2011 0.8823529411764706
2212 3.829090732900897
2213 3.829090732900897
701 2.0001484396418667
702 5.886228016385105
2857 2.4546785141222602
2858 2.4546785141222602
136 1.9981715532174245
137 1.9981715532174245
172 2.0156123050013726
538 1.0718113612004287
1122 4.47003909108759
1123 4.47003909108759
1704 2.238947753014249
1705 2.238947753014249
2216 3.829090732900897
2217 3.829090732900897
2695 2.129915108623078
2696 2.129915108623078
2864 1.9396551724137931
2865 1.586206896551724
1467 2.7226942913018917
1468 2.7226942913018917
640 2.7722646310432566
641 2.7722646310432566
1636 1.3333333333333333
1637 1.3333333333333333
1807 2.0776928998638002
1808 2.0776928998638002
1814 1.722493376098173
1815 1.722493376098173
345 6.9400112771389875
346 5.099012671029495
2116 2.379313671887563
2117 2.379313671887563
2620 2.5833333333333335
2621 2.5833333333333335
2545 3.1096784162845257
2546 3.1096784162845257
1691 1.4442916093535076
1692 1.4442916093535076
2756 2.129915108623078
2757 2.129915108623078
210 2.2043595222498302
264 2.4369565314542214
265 2.4369565314542214
145 3.11111466945815
146 1.9981715532174245
2017 2.0775720646824465
2018 2.0775720646824465
1738 1.941780821917808
1739 1.941780821917808
1742 1.941780821917808
1743 1.941780821917808
1873 4.613637422489228
1874 4.146860169631551
1834 1.5695204890864
2651 2.102996178825563
2652 2.102996178825563
204 2.2043595222498302
205 2.2043595222498302
2836 2.4546785141222602
2837 2.4546785141222602
1944 1.2597565659088834
1945 1.2597565659088834
2497 2.199421082165219
2498 2.199421082165219
2126 2.379313671887563
2127 2.379313671887563
223 2.2043595222498302
224 2.2043595222498302
2330 1.1869436201780414
2331 1.1869436201780414
2370 2.9143535028602203
2371 2.9143535028602203
1212 1.067214974475326
217 2.2043595222498302
218 2.2043595222498302
1187 2.8785550186168107
1488 4.131158681617397
1489 4.131158681617397
396 2.8158557565000617
397 2.8158557565000613
787 2.245982959685999
788 2.245982959685999
819 2.245982959685999
820 2.245982959685999
2717 2.129915108623078
2718 2.129915108623078
2653 2.102996178825563
2518 2.199421082165219
2519 2.199421082165219
100 1.5047291487532244
101 1.5047291487532244
501 2.1609538002980626
502 2.1609538002980626
986 2.6231423467870405
987 2.6231423467870405
618 1.383067896060352
619 1.383067896060352
2813 2.4546785141222602
2814 2.4546785141222602
2671 2.102996178825563
2672 2.102996178825563
2033 2.0775720646824465
2034 2.0775720646824465
2528 2.199421082165219
2640 1.0793650793650793
731 2.025521768567307
732 2.025521768567307
1937 1.7421244668276887
1938 1.7421244668276887
2093 2.392156862745098
2094 2.392156862745098
1229 1.067214974475326
2631 1.0793650793650793
2632 1.0793650793650793
709 2.025521768567307
710 2.025521768567307
552 1.0817690104995228
553 1.0817690104995228
1165 4.277825193056258
1330 2.054901775010889
220 2.2043595222498302
221 2.2043595222498302
283 2.98388881334965
284 2.98388881334965
1590 1.0791366906474822
1591 1.0791366906474822
1853 1.5695204890864
1854 1.5695204890864003
1390 3.1883525279751694
1391 3.1883525279751694
2571 3.1096784162845257
2572 3.1096784162845257
1345 1.9897247891150784
